Youtuber,subscribers,video views,video count,category,started
TazerCraft,13600000,5325454303,3977,Gaming,2011
CrashCourse,13600000,1699669363,1436,Education,2006
Zig & Sharko,13500000,8306091825,826,Film & Animation,2015
5-Minute Crafts Recycle,13500000,7508843409,2770,People & Blogs,2019
Aadishakti Films,13500000,5860777243,4599,Music,2016
infobells,13500000,4977566807,463,Education,2011
The World Adventures हिन्दी,13500000,2116009610,854,People & Blogs,2016
PlayHard,13500000,1926532344,2138,Gaming,2014
Neha Kakkar,13500000,1792757553,122,Music,2012
ZEE5,13400000,15778544226,69731,Entertainment,2018
Jake Fellman,13400000,10047123955,352,Entertainment,2012
ABC News,13400000,11589784991,71206,News & Politics,2006
Gallina Pintadita,13400000,9054727117,59,Music,2011
Telemundo,13400000,7855326888,18325,Entertainment,2007
Wesley Safadão,13400000,7301307830,371,Music,2009
AzzyLand,13400000,6045422126,1620,Gaming,2015
FAPTV,13400000,4975821188,595,Comedy,2014
TV Ana Emilia,13400000,4344884807,493,People & Blogs,2014
Harry Styles,13400000,4427208053,13,People & Blogs,2017
Lindsey Stirling,13400000,3533680308,172,Music,2007
Kurt Hugo Schneider,13400000,3659613327,681,Entertainment,2007
Narins Beauty,13400000,2046344368,406,Howto & Style,2014
Kim Loaiza,13400000,1092248349,12,Music,2019
YOLO,13400000,638326662,117,Comedy,2015
jbalvinVEVO,13300000,19691312985,235,Music,2010
Atlantic Records,13300000,11695828552,1421,Music,2006
Wish 107.5,13300000,5259245361,1552,Music,2014
H2ODelirious,13300000,4229571870,3027,Gaming,2007
MyMissAnand,13200000,4522774674,275,People & Blogs,2014
PrestonPlayz,13200000,4655009420,694,Gaming,2018
123 GO! Spanish,13200000,4639173668,340,People & Blogs,2019
Anaysa,13200000,3173575287,490,Howto & Style,2012
JD Pantoja,13200000,1380896972,16,People & Blogs,2017
ETV Jabardasth,13100000,12102023764,7805,People & Blogs,2015
theRadBrad,13100000,5791129136,7672,Gaming,2006
SRK MUSIC,13100000,5680652976,4895,Music,2012
The LaBrant Fam,13100000,4606244054,586,Comedy,2012
MSA previously My Story Animated,13100000,5149512811,838,Film & Animation,2019
The Q,13100000,4064473466,276,People & Blogs,2017
Desi Gamers,13100000,1938724616,1223,Gaming,2015
Matheus Yurley,13100000,741066278,238,Entertainment,2015
Calon Sarjana,13000000,10664585,29,Entertainment,2016
Saturday Night Live,13000000,13581231885,7996,Entertainment,2013
EnriqueIglesiasVEVO,13000000,14773705750,137,Music,2009
Поззи,13000000,6244275339,3000,People & Blogs,2012
The MriDul,13000000,3545774062,96,Comedy,2015
Conor Maynard,13000000,2581452824,282,Music,2006
DALLMYD,13000000,1738311790,616,Sports,2011
ГЛЕНТ,13000000,926279238,221,People & Blogs,2019
Coke Studio,12900000,3274234309,529,Music,2014
BeyoncéVEVO,12900000,13130570880,167,Music,2009
O Reino Infantil,12900000,9539435945,1055,Music,2014
twenty one pilots,12900000,4621224472,173,Music,2009
Gulshan Kalra,12900000,6130500064,339,Howto & Style,2018
How Ridiculous,12900000,5543670656,390,Sports,2009
Matt Steffanina,12900000,2970575636,486,Entertainment,2011
The Shiny Peanut,12900000,2839759455,2331,Education,2016
NishaMadhulika,12900000,2639885987,1931,Howto & Style,2009
ATHLEAN-X™,12900000,2162786560,1296,Howto & Style,2006
O Que Não Dizer Oficial,12900000,1636814649,511,Comedy,2015
Alex Gonzaga Official,12900000,1300528162,238,People & Blogs,2017
Everson Zoio,12900000,990362305,587,Comedy,2009
Infobells Bangla,12800000,6165983944,284,Education,2016
SMOL,12800000,13067020729,1960,People & Blogs,2021
RedeTV,12800000,8366717082,36800,Entertainment,2011
Crazy Frog,12800000,6887508307,33,Music,2009
MrSuicideSheep,12800000,6722961376,3212,Entertainment,2010
T-Series Hamaar Bhojpuri,12800000,6334967135,9347,Entertainment,2011
Ray William Johnson,12800000,6682031898,1354,Entertainment,2008
Zee Telugu,12800000,6224195587,86735,Entertainment,2008
Katakit Baby TV,12800000,5243185280,169,Music,2010
Typical Gamer,12800000,3948852379,3931,Gaming,2008
BBC News,12800000,3841146030,16397,News & Politics,2006
PowerfulJRE,12800000,2266640311,765,People & Blogs,2013
CookingShooking Hindi,12800000,1609903713,393,People & Blogs,2017
Hacksmith,12800000,1343814218,745,Science & Technology,2006
Dear Sir,12800000,918548566,482,Education,2016
Tsuriki Show,12700000,19472063469,1617,Entertainment,2019
NickiMinajAtVEVO,12700000,8367047990,93,Music,2010
Like Nastya Stories,12700000,6055781883,389,Entertainment,2019
Top Viral Talent,12700000,6503369315,2282,Entertainment,2014
Jazzghost,12700000,4639145138,5111,Gaming,2012
Ei Nerd,12700000,3207538507,5219,Entertainment,2013
#Refúgio Mental,12700000,2582093496,758,Entertainment,2013
أترو/Atro,12700000,2138416538,1544,Gaming,2017
Ami Rodriguez,12600000,1986603595,358,Entertainment,2009
That Little Puff,12600000,10768365983,542,Pets & Animals,2020
Hungria Hip Hop,12600000,3960601978,44,Music,2013
BBC,12600000,8830704358,12973,Pets & Animals,2005
Lady Diana,12600000,7265803610,1273,Entertainment,2016
T-Series Regional,12600000,5169203026,15573,Entertainment,2011
Blossom,12600000,4270306760,533,Howto & Style,2017
Crescendo com Luluca,12600000,4241651530,1107,Entertainment,2015
7 Minutoz,12600000,3916931694,511,Music,2012
TKOR,12600000,3337753407,1430,Education,2010
BIBO와 장난감,12600000,2875252577,152,Entertainment,2016
Veritasium,12600000,1795358843,336,Education,2010
Goldmines Premiere,12600000,1629550071,530,Entertainment,2013
SAAIHALILINTAR,12600000,1104329570,405,Entertainment,2012
Health Time,12600000,978876224,1604,Howto & Style,2016
Ja Mill,12500000,1302818088,567,People & Blogs,2016
JesseAndMike,12500000,9102860878,630,Entertainment,2007
Disney Junior,12500000,11451399743,3261,Entertainment,2008
VexTrex,12500000,7198667373,3133,Entertainment,2014
Zee Bangla,12500000,5283086890,76545,Entertainment,2008
Awakening Music,12500000,4944109812,709,Music,2006
Lokdhun Punjabi,12500000,4372757487,1399,Music,2010
Parafernalha,12500000,4547822776,1498,Entertainment,2011
Rebecca Zamolo,12500000,4747533461,856,Comedy,2011
Juliana Baltar,12500000,3211108711,1431,Entertainment,2010
StudyIQ IAS,12500000,2940312253,34843,Education,2015
gymvirtual,12500000,2352844574,1414,Sports,2010
Knowledge Tv हिन्दी,12500000,1446664137,1041,People & Blogs,2014
キッズライン♡Kids Line,12400000,10743601694,5581,People & Blogs,2011
KOMPASTV,12400000,9025460804,225232,News & Politics,2013
Meghan Trainor,12400000,7312991342,89,People & Blogs,2008
Ajay Sharma,12400000,9181398526,607,Entertainment,2012
elliegoulding,12400000,6556822629,104,Music,2007
Sony Music South,12400000,7036027389,1574,Music,2014
karameeshchannel,12400000,8199848915,2122,Entertainment,2012
Melon City Show - برنامج ولاية بطيخ,12400000,5477760778,1592,Comedy,2016
DJ Khaled,12400000,6054112231,39,Music,2018
Adexe & Nau,12400000,4440271314,529,Music,2013
SR Toys Collection,12400000,4007664795,984,Entertainment,2012
CaseyNeistat,12400000,3044339760,1068,People & Blogs,2010
Talking Angela,12400000,3284897861,204,Entertainment,2014
Jordan Matter,12400000,3368183197,355,Entertainment,2006
Kabita's Kitchen,12400000,2338362639,1234,Howto & Style,2014
LOUD,12400000,2305594041,1126,Gaming,2019
Brawl Stars,12400000,1796220780,130,Gaming,2017
Piuzinho,12400000,1022959848,463,Gaming,2015
People Vs Food,12400000,959616512,384,Entertainment,2013
DisneyChannelUK,12300000,11606288094,3238,Music,2007
Little Baby Bum en Español,12300000,6706548354,1182,Education,2014
JOJO TV - Hindi Stories,12300000,4679118911,925,Education,2016
Troom Troom PT,12300000,4219567300,2430,Howto & Style,2015
Peppa Pig em Português Brasil - Canal Oficial,12300000,3807810342,1066,Film & Animation,2014
Gibby :),12300000,2761291454,203,People & Blogs,2014
Blockbuster Movies,12300000,2286659867,344,Entertainment,2016
Come Play With Me,12200000,14390156987,367,Entertainment,2014
The Dodo,12200000,7908428418,6993,Pets & Animals,2014
Just For Laughs Gags,12200000,7856644944,6411,Comedy,2007
Think Music India,12200000,8959285840,3931,Music,2009
ماشا و الدب,12200000,6201317137,751,Shows,2017
Troom Troom India,12200000,6308397105,2070,Howto & Style,2015
HZHtube Kids Fun,12200000,3956552948,674,Entertainment,2015
Its JoJo Siwa,12200000,3817813233,707,Entertainment,2015
My Mate Nate,12200000,2748616115,981,Comedy,2014
Bela Bagunça,12200000,2770979129,921,People & Blogs,2015
Mythpat,12200000,2590550091,322,Entertainment,2018
GMA News,12100000,10471677314,329711,News & Politics,2007
Future,12100000,8747974258,48,Music,2011
Codiscos,12100000,9823385812,6967,Music,2007
Jass Records,12100000,5294095545,4241,Music,2014
DeGoBooM,12100000,4732355492,3062,Gaming,2014
FIFA,12100000,3904515416,9589,Sports,2006
Más SKabeche,12100000,2746045885,632,Travel & Events,2015
Davie504,12100000,2329241574,793,Entertainment,2011
Trakin Tech,12100000,1809901493,3285,Science & Technology,2011
ChrisBrownVEVO,12000000,12493403632,290,Music,2009
Migos ATL,12000000,6370982440,100,Music,2012
Lana Del Rey,12000000,5676001571,40,Music,2011
DaniRep | +6 Vídeos Diarios De GTA 5 Online!,12000000,6447519975,10858,Gaming,2012
Компот,12000000,5850856870,1863,Gaming,2013
Geo News,12000000,5358131096,153929,News & Politics,2007
NDTV,12000000,4510236068,126906,Entertainment,2006
NORMAN FAIT DES VIDÉOS,12000000,2681755121,205,Comedy,2011
RaptorGamer,12000000,2522809876,1207,People & Blogs,2016
Narendra Modi,12000000,2265382511,17104,News & Politics,2007
Kylie Jenner,12000000,753341022,148,People & Blogs,2015
Troom Troom Indonesia,11900000,5012830809,1568,People & Blogs,2019
Avril Lavigne,11900000,5636275144,140,Music,2005
The Infographics Show,11900000,4349105305,3445,Education,2011
Azhan5star,11900000,6371101819,365,Entertainment,2021
CHHOTU KI MASTI,11900000,4064045560,106,Comedy,2018
Yudist Ardhana,11900000,3925624169,2126,Entertainment,2016
Vogue,11900000,3533048715,2756,Entertainment,2008
Sonotek Bhakti,11900000,3661572976,7428,Entertainment,2010
BanderitaX,11900000,3347502658,1474,Gaming,2013
Lulu99,11900000,2140151369,496,Entertainment,2015
Planet Earth INDIA,11900000,1722795279,630,People & Blogs,2011
colinfurze,11900000,1472027354,350,Entertainment,2006
Ice Cream Rolls,11900000,1469047858,1528,Entertainment,2011
Yair17,11900000,1248384511,962,Gaming,2014
CalvinHarrisVEVO,11800000,13615089843,173,Music,2009
Rauw Alejandro,11800000,9232920975,114,Music,2014
Jamuna TV,11800000,9144058244,84071,News & Politics,2017
MBC مصر,11800000,7784893932,40608,Entertainment,2012
CNCO,11800000,6881836992,172,Music,2015
Kids TV India Hindi Nursery Rhymes,11800000,5473328070,1185,Shows,2014
DANIEL EL TRAVIESO VIDEOS,11800000,4755190859,324,Comedy,2014
Kluna Tik,11800000,4208225754,275,Entertainment,2014
MrGear,11800000,3241537148,766,Science & Technology,2015
E-MasterSensei,11800000,3235532845,1151,Gaming,2016
Timba Vk,11800000,2538254830,890,Gaming,2012
MORGENSHTERN,11800000,2085751416,131,Music,2013
TommyInnit,11800000,1590238217,289,Gaming,2015
Tfue,11800000,1461546183,741,Gaming,2014
Bispo Bruno Leonardo,11800000,1882150122,3439,Nonprofits & Activism,2016
TsMadaan,11800000,1329092064,1687,Howto & Style,2008
EU FICO LOKO,11800000,1190135430,1605,Comedy,2010
Technology Gyan,11800000,920996435,924,Science & Technology,2015
Machinima,11700000,0,0,Film & Animation,2006
Wave Music Bhakti,11700000,4770280667,19108,Music,2011
FFUNTV,11700000,9325685889,364,Gaming,2018
Natti Natasha,11700000,7264301648,130,Music,2015
Netflix Jr.,11700000,7314674893,1563,Education,2012
Nat and Essie,11700000,6890942780,959,Film & Animation,2015
Mor Haryanvi,11700000,5768686721,402,Music,2015
Luan Santana,11700000,4908116204,371,Music,2009
Koo Koo TV - Hindi,11700000,4265761191,927,Education,2017
123 GO!,11700000,4356636895,377,People & Blogs,2019
Naz | ناز,11700000,2002897892,917,People & Blogs,2016
Rubius Z,11700000,1828200652,429,Comedy,2006
emma chamberlain,11700000,1531833342,283,Entertainment,2016
Dani Russo Tv,11700000,602060711,280,Comedy,2014
FrontaL Gaming,11700000,255073454,108,Gaming,2015
eltrece,11600000,11106097841,149786,Entertainment,2014
Alan Chikin Chow,11600000,11876297990,508,Comedy,2020
Луномосик,11600000,5052785110,460,People & Blogs,2015
Akon,11600000,5289951047,37,Music,2005
Halsey,11600000,4412088740,51,Music,2014
Republic Bharat,11600000,5041539626,49789,News & Politics,2019
SBT,11600000,3375080065,25710,Comedy,2008
办公室小野 Ms Yeah,11600000,3339092378,351,People & Blogs,2017
Morgz,11600000,2723781007,735,Gaming,2014
First We Feast,11600000,2485814338,819,Howto & Style,2014
P!NK,11500000,7211913487,13,Music,2006
YoungBoy Never Broke Again,11500000,11015842469,475,Entertainment,2015
TV9 Bharatvarsh,11500000,7314674032,193940,People & Blogs,2018
Wassabi,11500000,4592238139,1119,Entertainment,2006
Luli Pampín,11500000,6102648062,225,Music,2012
Duo Tiempo De Sol,11500000,5733616887,278,Music,2013
Wild 'N Out,11500000,4418589089,1267,Entertainment,2006
LipaoGamer,11500000,3837227706,10901,Gaming,2011
Make Joke Of,11500000,1832620830,42,Comedy,2017
Garena Free Fire LATAM,11500000,1587661793,1425,People & Blogs,2018
Hero Movies 2022,11500000,1418615214,329,People & Blogs,2017
YtCrash,11400000,3825084,1,Education,2015
infobells - Kannada,11400000,5209512047,353,Education,2014
Black Eyed Peas,11400000,9492696997,39,Music,2007
Annoying Orange,11400000,7893769128,1861,Shows,2010
웃웃TwinsFromRussia,11400000,7802486828,3589,People & Blogs,2011
Biper y sus Amigos,11400000,4991697738,119,Music,2012
Vy Qwaint,11400000,5409544753,528,Howto & Style,2014
Маша та Ведмідь,11400000,4942306057,994,Shows,2014
MC Divertida,11400000,4440911293,347,Entertainment,2018
BBC Earth,11400000,4069124046,2248,Pets & Animals,2009
CrazyRussianHacker,11400000,3011607663,1970,Science & Technology,2012
ExpCaseros,11400000,2515501575,1023,Howto & Style,2012
الجانب المُشرق | Bright Side Arabic,11400000,1605101022,5063,Howto & Style,2018
MyLifeAsEva,11400000,1534278655,326,Comedy,2011
GoldminesAction,11400000,1069320125,529,Film & Animation,2015
Free Fire India Official,11300000,1389660530,1117,People & Blogs,2018
Colors Rishtey,11300000,8954781989,13423,Entertainment,2013
Yoeslan,11300000,8789109127,240,Entertainment,2020
POCOYÓ en ESPAÑOL - Canal Oficial,11300000,8388840225,1538,Film & Animation,2007
Lil Wayne,11300000,5335786775,254,Music,2013
elcarteldesantatv,11300000,6261374873,313,Music,2008
Star Casablanca | نجوم الدار البيضاء,11300000,5129031730,998,Music,2015
UnspeakableGaming,11300000,4826278522,2444,Gaming,2012
Maymo,11300000,4918241216,486,Pets & Animals,2006
Simone e Simaria,11300000,4474548691,224,Music,2012
Single Track Studio,11300000,4462580470,1719,Entertainment,2010
CaptainSparklez,11300000,3924274232,5501,Gaming,2010
Tiana,11300000,3176486598,997,Entertainment,2015
Quantum Tech HD,11300000,3594122308,392,Science & Technology,2015
Ya - Alisa,11300000,2127059635,332,People & Blogs,2015
Jaiden Animations,11300000,2116631957,101,Film & Animation,2014
Ben Azelart,11300000,2294003189,236,Film & Animation,2014
Yoga With Adriene,11300000,1188547722,649,Howto & Style,2012
The Viral Fever,11200000,1656301737,433,Entertainment,2011
Lofi Girl,11200000,1311726533,328,Music,2015
Marta and Rustam,11200000,12481668186,390,Comedy,2021
ChainsmokersVEVO,11200000,11415809929,231,Music,2012
"せんももあいしーCh Sen, Momo, Ai & Shii",11200000,7625038147,3216,People & Blogs,2006
AlArabiya العربية,11200000,5892643162,129135,People & Blogs,2006
DemiLovatoVEVO,11200000,5543363992,201,Music,2009
Cut,11200000,4846700433,1738,Entertainment,2014
Toys Make Me Smile,11200000,4562854224,102,Entertainment,2015
Franco Escamilla,11200000,3344578049,2053,Comedy,2007
Avocado Couple I Crazy Comics,11200000,3138496496,660,Film & Animation,2018
Fortnite,11200000,2123231155,792,Gaming,2014
luzugames,11200000,1978138747,2882,Gaming,2013
Magic Five,11200000,1753589438,405,Entertainment,2016
El Rincón De Giorgio,11200000,1543663972,551,Entertainment,2013
Pastor Antônio Júnior,11200000,1646248092,3624,People & Blogs,2013
CarryisLive,11200000,1371995657,893,Gaming,2017
MaJa Tv Moral Stories Fairy Tales,11100000,4132213251,449,Entertainment,2017
FunToys Collector Disney Toys Review,11100000,15050447314,2910,Entertainment,2011
DisneyJuniorUK,11100000,12321708693,2799,Entertainment,2010
Morphle TV,11100000,7586526902,1126,Entertainment,2011
Chotoonz TV - Funny Cartoons for Kids,11100000,7015448647,1797,Film & Animation,2013
penguinz0,11100000,5768785195,3952,Gaming,2007
ToysPlay,11100000,7000333135,397,Entertainment,2015
Pari's Lifestyle,11100000,6680703649,356,People & Blogs,2018
Comedy Central,11100000,6297139999,5841,Comedy,2006
Sky Does Everything,11100000,3823868578,2101,Music,2011
BakLol Video,11100000,3250851179,257,Entertainment,2016
Genius,11100000,2891052624,2797,Music,2011
Mo Vlogs,11100000,2933099311,1906,People & Blogs,2013
The Film Theorists,11100000,2242892562,355,Film & Animation,2014
bharatzkitchen HINDI,11100000,1903304025,626,Howto & Style,2016
Mrwhosetheboss,11100000,1793692542,1435,Science & Technology,2011
Acenix,11100000,1606057806,259,Gaming,2014
HellomaphieMX,11100000,1584174173,382,Howto & Style,2013
Virgínia Fonseca,11100000,1246793263,1047,People & Blogs,2016
Barbie,11000000,3703938514,2411,Entertainment,2005
Inside Edition,11000000,19367966533,27156,News & Politics,2012
Flowers Comedy,11000000,9521653019,8840,Entertainment,2015
Flamingo,11000000,8874980800,2196,Gaming,2017
Doja Cat,11000000,5459891400,25,Music,2018
Tyga,11000000,5211071220,160,Music,2009
Emily Tube,11000000,4040393626,770,Entertainment,2014
ExplosmEntertainment,11000000,3685664468,1048,Comedy,2009
Coisa de Nerd,11000000,3419435728,1962,Gaming,2009
Taylor RS,11000000,3306502621,1845,Gaming,2016
unknown boy varun,11000000,3263285883,193,Music,2016
Viih Tube,11000000,886497694,505,People & Blogs,2013
OYUNCAKOYNUYORUM,10900000,9948474904,791,Entertainment,2016
Brancoala,10900000,7934725886,1685,Entertainment,2008
핑크퐁 (인기 동요・동화),10900000,6663450148,2726,Education,2014
OGGY,10900000,5589104660,920,Film & Animation,2014
JP Plays,10900000,4609300218,3528,Gaming,2014
TrapMusicHDTV,10900000,4070521973,690,Music,2013
Games EduUu,10900000,3093784767,1006,Gaming,2011
Hueva,10900000,3040301750,831,Gaming,2012
Dobre Brothers,10900000,2808411693,590,People & Blogs,2017
